Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2457552,Illinois Tool Works Inc,ITW,0.12%,Industrial Machinery & Supplies & Components,US,---,"$16,979,506.16","61,183"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.11%,Oil & Gas Exploration & Production,US,---,"$16,411,979.85","92,415"
,2065159,Autodesk Inc,ADSK,0.11%,Application Software,US,---,"$16,132,437.30","55,267"
,BL5GZ82,Ingersoll Rand Inc,IR,0.11%,Industrial Machinery & Supplies & Components,US,---,"$15,969,365.17","153,301"
,2304227,Ecolab Inc,ECL,0.11%,Specialty Chemicals,US,---,"$15,847,644.08","63,704"
,2352118,Freeport-McMoRan Inc,FCX,0.11%,Copper,US,---,"$15,639,286.00","353,830"
,BK4N0D7,Carrier Global Corp,CARR,0.11%,Building Products,US,---,"$15,351,678.03","198,419"
,2965839,CME Group Inc,CME,0.11%,Financial Exchanges & Data,US,---,"$15,212,722.00","63,919"
,2209106,Colgate-Palmolive Co,CL,0.11%,Household Products,US,---,"$15,165,208.83","156,941"
,2267278,Deckers Outdoor Corp,DECK,0.10%,Footwear,US,---,"$14,738,543.52","75,212"
,BMGYYH4,Airbnb Inc,ABNB,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$14,738,126.91","108,281"
,B0J7D57,Ameriprise Financial Inc,AMP,0.10%,Asset Management & Custody Banks,US,---,"$14,736,679.75","25,675"
,B4MGBG6,HCA Healthcare Inc,HCA,0.10%,Health Care Facilities,US,---,"$14,366,921.32","43,906"
,B3K3L40,Marathon Petroleum Corp,MPC,0.10%,Oil & Gas Refining & Marketing,US,---,"$14,152,342.95","90,633"
,2637785,NVR Inc,NVR,0.10%,Homebuilding,US,---,"$13,982,668.12","1,514"
,2708841,PulteGroup Inc,PHM,0.10%,Homebuilding,US,---,"$13,852,053.81","102,403"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.10%,Aerospace & Defense,US,---,"$13,824,416.40","116,780"
,BWFRFC6,GoDaddy Inc,GDDY,0.10%,Internet Services & Infrastructure,US,---,"$13,736,054.25","69,525"
,2967181,Williams Cos Inc/The,WMB,0.10%,Oil & Gas Storage & Transportation,US,---,"$13,725,573.40","234,545"
,BYT3MK1,Fortive Corp,FTV,0.10%,Industrial Machinery & Supplies & Components,US,---,"$13,681,331.13","172,461"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.09%,Semiconductors,US,---,"$13,623,927.64","24,001"
,B2972D2,MSCI Inc,MSCI,0.09%,Financial Exchanges & Data,US,---,"$13,473,432.63","22,101"
,2909644,Tyler Technologies Inc,TYL,0.09%,Application Software,US,---,"$13,262,903.60","21,080"
,BMX5GK7,Corpay Inc,CPAY,0.09%,Transaction & Payment Processing Services,US,---,"$13,054,271.46","34,247"
,2749602,Roper Technologies Inc,ROP,0.09%,Application Software,US,---,"$12,904,636.08","22,782"
,2262530,Republic Services Inc,RSG,0.09%,Environmental & Facilities Services,US,---,"$12,530,638.30","57,401"
,B1YLC43,Discover Financial Services,DFS,0.08%,Consumer Finance,US,---,"$12,204,384.57","66,899"
,B03GQS4,Digital Realty Trust Inc,DLR,0.08%,Data Center REITs,US,---,"$12,153,523.14","62,106"
,2931205,Vulcan Materials Co,VMC,0.08%,Construction Materials,US,---,"$12,009,834.66","41,682"
,2572079,Martin Marietta Materials Inc,MLM,0.08%,Construction Materials,US,---,"$11,937,600.00","19,896"
,2332262,Fastenal Co,FAST,0.08%,Trading Companies & Distributors,US,---,"$11,768,590.40","140,840"
