Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 10/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2289874,Darden Restaurants Inc,DRI,0.04%,Restaurants,US,---,"$4,734,511.74","29,587"
,2570200,Masco Corp,MAS,0.03%,Building Products,US,---,"$4,527,940.33","56,663"
,2963811,Wynn Resorts Ltd,WYNN,0.03%,Casinos & Gaming,US,---,"$4,315,714.92","44,946"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$4,214,811.12","36,552"
,BQPDXR3,Cooper Cos Inc/The,COO,0.03%,Health Care Supplies,US,---,"$4,207,821.96","40,197"
,BNNF1C1,Apa Corp,APA,0.03%,Oil & Gas Exploration & Production,US,---,"$4,195,537.20","177,777"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$4,153,410.97","41,381"
,2910970,Marathon Oil Corp,MRO,0.03%,Oil & Gas Exploration & Production,US,---,"$3,947,139.20","142,496"
,2329770,FactSet Research Systems Inc,FDS,0.03%,Financial Exchanges & Data,US,---,"$3,894,018.56","8,576"
,B0G4K50,CF Industries Holdings Inc,CF,0.03%,Fertilizers & Agricultural Chemicals,US,---,"$3,850,748.67","46,829"
,2679204,Align Technology Inc,ALGN,0.03%,Health Care Supplies,US,---,"$3,807,817.16","18,572"
,2781585,Pool Corp,POOL,0.03%,Distributors,US,---,"$3,784,562.60","10,465"
,2818740,Snap-on Inc,SNA,0.03%,Industrial Machinery & Supplies & Components,US,---,"$3,761,501.22","11,394"
,2471789,Jabil Inc,JBL,0.03%,Electronic Manufacturing Services,US,---,"$3,623,277.24","29,436"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.03%,Packaged Foods & Meats,US,---,"$3,541,343.27","45,583"
,2567503,Host Hotels & Resorts Inc,HST,0.03%,Hotel & Resort REITs,US,---,"$3,492,082.68","202,557"
,2507457,Akamai Technologies Inc,AKAM,0.03%,Internet Services & Infrastructure,US,---,"$3,460,675.96","34,237"
,2142922,VeriSign Inc,VRSN,0.03%,Internet Services & Infrastructure,US,---,"$3,424,506.60","19,365"
,2937689,Waters Corp,WAT,0.03%,Life Sciences Tools & Services,US,---,"$3,417,857.58","10,578"
,2311711,Erie Indemnity Co,ERIE,0.02%,Property & Casualty Insurance,US,---,"$3,112,256.56","6,934"
,2325507,Expeditors International of Washington Inc,EXPD,0.02%,Air Freight & Logistics,US,---,"$2,986,186.00","25,094"
,B1XGNW4,Insulet Corp,PODD,0.02%,Health Care Equipment,US,---,"$2,967,751.54","12,818"
,BFX1V56,Dayforce Inc,DAY,0.02%,Human Resource & Employment Services,US,---,"$2,965,780.95","41,801"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Components & Equipment,US,---,"$2,918,812.05","17,631"
,B01SD70,Domino's Pizza Inc,DPZ,0.02%,Restaurants,US,---,"$2,791,022.58","6,746"
,2547419,MGM Resorts International,MGM,0.02%,Casinos & Gaming,US,---,"$2,782,689.51","75,473"
,2747305,Rollins Inc,ROL,0.02%,Environmental & Facilities Services,US,---,"$2,736,147.02","58,043"
,2816023,A O Smith Corp,AOS,0.02%,Building Products,US,---,"$2,728,007.50","36,325"
,BMWWGB0,Caesars Entertainment Inc,CZR,0.02%,Casinos & Gaming,US,---,"$2,415,175.20","60,304"
,BFRT3W7,Allegion plc,ALLE,0.02%,Building Products,US,---,"$2,225,143.68","15,936"
,BL95MY0,Paycom Software Inc,PAYC,0.02%,Human Resource & Employment Services,US,---,"$2,106,186.28","10,076"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Apparel, Accessories & Luxury Goods",US,---,"$2,100,235.23","10,611"
,B44Z3T8,EPAM Systems Inc,EPAM,0.02%,IT Consulting & Other Services,US,---,"$2,067,038.05","10,957"
,B65SQW4,Enphase Energy Inc,ENPH,0.02%,Semiconductor Materials & Equipment,US,---,"$2,000,848.80","24,095"
,2898087,DaVita Inc,DVA,0.01%,Health Care Services,US,---,"$1,698,132.26","12,146"


Fixed income,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.03%,"$4,301,979.76"
,---,Synthetic Cash - CMS USD,---,<0.01%,"$620,000.00"
,---,Synthetic Cash - ZVGI USD,---,<0.01%,"$363,000.00"
,---,Synthetic Cash - QMS USD,---,<0.01%,"$82,115.12"
,---,SLCMT1142,---,<0.01%,$599.94



"** There may be deviations when applying fair value and other considerations."



